,corr_com_alvo
concave_points_worst,0.7936
perimeter_worst,0.7829
concave_points_mean,0.7766
radius_worst,0.7765
perimeter_mean,0.7426
area_worst,0.7338
radius_mean,0.73
area_mean,0.709
concavity_mean,0.6964
concavity_worst,0.6596
compactness_mean,0.5965
compactness_worst,0.591
radius_se,0.5671
perimeter_se,0.5561
area_se,0.5482
texture_worst,0.4569
smoothness_worst,0.4215
symmetry_worst,0.4163
texture_mean,0.4152
concave_points_se,0.408
smoothness_mean,0.3586
symmetry_mean,0.3305
fractal_dimension_worst,0.3239
compactness_se,0.293
concavity_se,0.2537
fractal_dimension_se,0.078
smoothness_se,-0.067
fractal_dimension_mean,-0.0128
texture_se,-0.0083
symmetry_se,-0.0065
