,feature_a,feature_b,correlacao
0,radius_mean,perimeter_mean,0.9979
1,radius_worst,perimeter_worst,0.9937
2,radius_mean,area_mean,0.9874
3,perimeter_mean,area_mean,0.9865
4,radius_worst,area_worst,0.984
5,perimeter_worst,area_worst,0.9776
6,radius_se,perimeter_se,0.9728
7,perimeter_mean,perimeter_worst,0.9704
8,radius_mean,radius_worst,0.9695
9,perimeter_mean,radius_worst,0.9695
10,radius_mean,perimeter_worst,0.9651
11,area_mean,radius_worst,0.9627
12,area_mean,area_worst,0.9592
13,area_mean,perimeter_worst,0.9591
14,radius_se,area_se,0.9518
15,perimeter_mean,area_worst,0.9415
16,radius_mean,area_worst,0.9411
17,perimeter_se,area_se,0.9377
18,concavity_mean,concave_points_mean,0.9214
19,texture_mean,texture_worst,0.912
20,concave_points_mean,concave_points_worst,0.9102
