,threshold,recall,precision,f1,specificity,alarmes_%
0,0.0,1.0,0.3772,0.5478,0.0,100.0
1,0.0,1.0,0.3805,0.5513,0.0141,99.1228
2,0.0,1.0,0.3839,0.5548,0.0282,98.2456
3,0.0,1.0,0.3874,0.5584,0.0423,97.3684
4,0.0,1.0,0.3909,0.5621,0.0563,96.4912
5,0.0,1.0,0.3945,0.5658,0.0704,95.614
6,0.0,1.0,0.3945,0.5658,0.0704,95.614
7,0.0,1.0,0.4019,0.5733,0.0986,93.8596
8,0.0001,1.0,0.4057,0.5772,0.1127,92.9825
9,0.0001,1.0,0.4095,0.5811,0.1268,92.1053
10,0.0001,1.0,0.4135,0.585,0.1408,91.2281
11,0.0001,1.0,0.4175,0.589,0.1549,90.3509
12,0.0001,1.0,0.4175,0.589,0.1549,90.3509
13,0.0001,1.0,0.4216,0.5931,0.169,89.4737
14,0.0001,1.0,0.43,0.6014,0.1972,87.7193
15,0.0002,1.0,0.43,0.6014,0.1972,87.7193
16,0.0003,1.0,0.4388,0.6099,0.2254,85.9649
17,0.0004,1.0,0.4433,0.6143,0.2394,85.0877
18,0.0004,1.0,0.4433,0.6143,0.2394,85.0877
19,0.0004,1.0,0.4479,0.6187,0.2535,84.2105
20,0.0004,1.0,0.4526,0.6232,0.2676,83.3333
21,0.0005,1.0,0.4624,0.6324,0.2958,81.5789
22,0.0005,1.0,0.4674,0.637,0.3099,80.7018
23,0.0006,1.0,0.4674,0.637,0.3099,80.7018
24,0.0006,1.0,0.4725,0.6418,0.3239,79.8246
25,0.0006,1.0,0.4831,0.6515,0.3521,78.0702
26,0.0007,1.0,0.4831,0.6515,0.3521,78.0702
27,0.0008,1.0,0.4943,0.6615,0.3803,76.3158
28,0.0008,1.0,0.5,0.6667,0.3944,75.4386
29,0.0009,1.0,0.5059,0.6719,0.4085,74.5614
30,0.0009,1.0,0.5119,0.6772,0.4225,73.6842
31,0.001,1.0,0.5119,0.6772,0.4225,73.6842
32,0.0013,1.0,0.5181,0.6825,0.4366,72.807
33,0.0013,1.0,0.5244,0.688,0.4507,71.9298
34,0.0015,1.0,0.5375,0.6992,0.4789,70.1754
35,0.0015,1.0,0.5375,0.6992,0.4789,70.1754
36,0.0017,1.0,0.5443,0.7049,0.493,69.2982
37,0.0019,1.0,0.5584,0.7167,0.5211,67.5439
38,0.0027,1.0,0.5658,0.7227,0.5352,66.6667
39,0.0041,1.0,0.5733,0.7288,0.5493,65.7895
40,0.0079,1.0,0.5733,0.7288,0.5493,65.7895
41,0.0086,1.0,0.5811,0.735,0.5634,64.9123
42,0.0087,1.0,0.589,0.7414,0.5775,64.0351
43,0.0113,1.0,0.5972,0.7478,0.5915,63.1579
44,0.0117,1.0,0.6056,0.7544,0.6056,62.2807
45,0.0127,1.0,0.6143,0.7611,0.6197,61.4035
46,0.0157,1.0,0.6324,0.7748,0.6479,59.6491
47,0.0162,1.0,0.6324,0.7748,0.6479,59.6491
48,0.0173,1.0,0.6418,0.7818,0.662,58.7719
49,0.0202,1.0,0.6515,0.789,0.6761,57.8947
50,0.0247,1.0,0.6615,0.7963,0.6901,57.0175
51,0.0274,1.0,0.6825,0.8113,0.7183,55.2632
52,0.0386,1.0,0.6935,0.819,0.7324,54.386
53,0.0477,1.0,0.6935,0.819,0.7324,54.386
54,0.0499,1.0,0.7167,0.835,0.7606,52.6316
55,0.0518,1.0,0.7167,0.835,0.7606,52.6316
56,0.0612,1.0,0.7414,0.8515,0.7887,50.8772
57,0.0803,1.0,0.7544,0.86,0.8028,50.0
58,0.0934,1.0,0.7679,0.8687,0.8169,49.1228
59,0.1077,0.9767,0.7636,0.8571,0.8169,48.2456
60,0.1117,0.9767,0.7636,0.8571,0.8169,48.2456
61,0.112,0.9767,0.7925,0.875,0.8451,46.4912
62,0.1439,0.9767,0.7925,0.875,0.8451,46.4912
63,0.1766,0.9767,0.8235,0.8936,0.8732,44.7368
64,0.1838,0.9767,0.8235,0.8936,0.8732,44.7368
65,0.2052,0.9767,0.84,0.9032,0.8873,43.8596
66,0.2624,0.9767,0.8571,0.913,0.9014,42.9825
67,0.2696,0.9767,0.875,0.9231,0.9155,42.1053
68,0.2938,0.9767,0.913,0.9438,0.9437,40.3509
69,0.3092,0.9767,0.9333,0.9545,0.9577,39.4737
70,0.3184,0.9767,0.9333,0.9545,0.9577,39.4737
71,0.6562,0.9767,0.9767,0.9767,0.9859,37.7193
72,0.6765,0.9767,0.9767,0.9767,0.9859,37.7193
73,0.9256,0.9535,1.0,0.9762,1.0,35.9649
74,0.9323,0.9302,1.0,0.9639,1.0,35.0877
75,0.9329,0.907,1.0,0.9512,1.0,34.2105
76,0.9489,0.8837,1.0,0.9383,1.0,33.3333
77,0.956,0.8837,1.0,0.9383,1.0,33.3333
78,0.9648,0.8605,1.0,0.925,1.0,32.4561
79,0.9767,0.8372,1.0,0.9114,1.0,31.5789
80,0.9807,0.814,1.0,0.8974,1.0,30.7018
81,0.9928,0.7674,1.0,0.8684,1.0,28.9474
82,0.9962,0.7674,1.0,0.8684,1.0,28.9474
83,0.9962,0.7209,1.0,0.8378,1.0,27.193
84,0.9967,0.7209,1.0,0.8378,1.0,27.193
85,0.9981,0.6744,1.0,0.8056,1.0,25.4386
86,0.9983,0.6512,1.0,0.7887,1.0,24.5614
87,0.9984,0.6279,1.0,0.7714,1.0,23.6842
88,0.9988,0.6279,1.0,0.7714,1.0,23.6842
89,0.9988,0.6047,1.0,0.7536,1.0,22.807
90,0.9988,0.5581,1.0,0.7164,1.0,21.0526
91,0.9991,0.5349,1.0,0.697,1.0,20.1754
92,0.9994,0.5116,1.0,0.6769,1.0,19.2982
93,0.9996,0.5116,1.0,0.6769,1.0,19.2982
94,0.9998,0.4651,1.0,0.6349,1.0,17.5439
95,0.9998,0.4651,1.0,0.6349,1.0,17.5439
96,0.9999,0.4419,1.0,0.6129,1.0,16.6667
97,0.9999,0.4186,1.0,0.5902,1.0,15.7895
98,1.0,0.3953,1.0,0.5667,1.0,14.9123
99,1.0,0.3721,1.0,0.5424,1.0,14.0351
100,1.0,0.3488,1.0,0.5172,1.0,13.1579
101,1.0,0.3256,1.0,0.4912,1.0,12.2807
102,1.0,0.3023,1.0,0.4643,1.0,11.4035
103,1.0,0.2791,1.0,0.4364,1.0,10.5263
104,1.0,0.0233,1.0,0.0455,1.0,0.8772
